observation_date,CSUSHPISA
2004-01-01,141.64700000000002
2004-02-01,143.19200000000001
2004-03-01,145.05799999999999
2004-04-01,146.59299999999999
2004-05-01,148.18600000000001
2004-06-01,149.85200000000000
2004-07-01,151.33900000000000
2004-08-01,152.63499999999999
2004-09-01,154.18000000000001
2004-10-01,155.75200000000001
2004-11-01,157.52900000000000
2004-12-01,159.33199999999999
2005-01-01,161.28899999999999
2005-02-01,163.34600000000000
2005-03-01,165.81400000000002
2005-04-01,167.50299999999999
2005-05-01,169.35200000000000
2005-06-01,171.19200000000001
2005-07-01,172.86099999999999
2005-08-01,174.44400000000002
2005-09-01,176.43799999999999
2005-10-01,178.02799999999999
2005-11-01,179.68200000000002
2005-12-01,180.91099999999997
2006-01-01,182.32100000000000
2006-02-01,183.28800000000001
2006-03-01,184.36400000000000
2006-04-01,184.32900000000001
2006-05-01,184.15500000000000
2006-06-01,183.50700000000001
2006-07-01,183.06599999999997
2006-08-01,182.59399999999999
2006-09-01,182.79800000000000
2006-10-01,183.19800000000001
2006-11-01,183.60800000000000
2006-12-01,184.13900000000001
2007-01-01,184.51700000000000
2007-02-01,184.59899999999999
2007-03-01,184.15100000000001
2007-04-01,183.01100000000000
2007-05-01,181.60100000000000
2007-06-01,180.25299999999999
2007-07-01,179.11000000000001
2007-08-01,178.11600000000001
2007-09-01,177.55700000000002
2007-10-01,176.62299999999999
2007-11-01,175.14599999999999
2007-12-01,174.34000000000000
2008-01-01,173.13099999999997
2008-02-01,171.53900000000002
2008-03-01,170.05200000000002
2008-04-01,168.33599999999998
2008-05-01,166.65799999999999
2008-06-01,165.01700000000000
2008-07-01,163.56500000000000
2008-08-01,161.98800000000000
2008-09-01,160.30700000000002
2008-10-01,158.32700000000000
2008-11-01,156.14200000000000
2008-12-01,153.61799999999999
2009-01-01,151.50700000000001
2009-02-01,150.01400000000001
2009-03-01,148.66000000000000
2009-04-01,147.94799999999998
2009-05-01,147.69399999999999
2009-06-01,148.08900000000000
2009-07-01,148.40899999999999
2009-08-01,148.27700000000002
2009-09-01,148.02500000000001
2009-10-01,147.84999999999999
2009-11-01,148.13600000000000
2009-12-01,147.93000000000001
2010-01-01,147.39600000000002
2010-02-01,145.63200000000001
2010-03-01,145.85800000000000
2010-04-01,146.40100000000001
2010-05-01,146.39099999999999
2010-06-01,145.71799999999999
2010-07-01,144.98599999999999
2010-08-01,143.91000000000000
2010-09-01,143.01400000000001
2010-10-01,142.52500000000001
2010-11-01,142.16700000000000
2010-12-01,142.05400000000000
2011-01-01,141.51599999999999
2011-02-01,140.34399999999999
2011-03-01,139.97499999999999
2011-04-01,140.00700000000001
2011-05-01,139.90299999999999
2011-06-01,139.85900000000001
2011-07-01,139.72700000000000
2011-08-01,139.30600000000001
2011-09-01,138.66399999999999
2011-10-01,137.94700000000000
2011-11-01,137.14600000000002
2011-12-01,136.66800000000001
2012-01-01,136.60200000000000
2012-02-01,136.52600000000001
2012-03-01,137.89700000000002
2012-04-01,139.14800000000000
2012-05-01,140.14900000000000
2012-06-01,141.02700000000002
2012-07-01,141.66899999999998
2012-08-01,142.27900000000000
2012-09-01,142.90500000000000
2012-10-01,143.59600000000000
2012-11-01,144.57900000000001
2012-12-01,145.49500000000000
2013-01-01,146.82100000000000
2013-02-01,147.77900000000000
2013-03-01,149.95900000000000
2013-04-01,151.51599999999999
2013-05-01,152.84700000000001
2013-06-01,154.19700000000000
2013-07-01,155.60100000000000
2013-08-01,156.95800000000000
2013-09-01,158.22100000000000
2013-10-01,159.23800000000000
2013-11-01,160.07399999999998
2013-12-01,160.99400000000000
2014-01-01,161.92400000000001
2014-02-01,162.52100000000002
2014-03-01,163.08000000000001
2014-04-01,163.38399999999999
2014-05-01,163.65100000000001
2014-06-01,164.06000000000000
2014-07-01,164.58099999999999
2014-08-01,165.20800000000000
2014-09-01,165.89900000000000
2014-10-01,166.63499999999999
2014-11-01,167.32900000000001
2014-12-01,168.04400000000001
2015-01-01,168.62200000000001
2015-02-01,169.11799999999999
2015-03-01,169.78999999999999
2015-04-01,170.28799999999998
2015-05-01,170.87099999999998
2015-06-01,171.47200000000001
2015-07-01,172.14400000000001
2015-08-01,172.92599999999999
2015-09-01,173.81700000000001
2015-10-01,174.78000000000000
2015-11-01,175.72400000000002
2015-12-01,176.52799999999999
2016-01-01,177.25299999999999
2016-02-01,177.63399999999999
